route,route_type,week_of,total_cost,total_tonne_km,cost_per_tonne_km
Mumbai-Pune,Short,2025-08-04,27008,7250.33,3.725071824316962
Mumbai-Pune,Short,2025-08-11,36607,10368.32,3.530658775963705
Mumbai-Pune,Short,2025-08-18,37780,9980.919999999998,3.785222203965166
Mumbai-Pune,Short,2025-08-25,46601,12831.29,3.6318250152556755
Mumbai-Pune,Short,2025-09-01,39105,10658.619999999999,3.6688614473543484
Mumbai-Pune,Short,2025-09-08,23499,6321.41,3.717366853281151
Mumbai-Pune,Short,2025-09-15,34203,8591.97,3.9808099888616932
Mumbai-Pune,Short,2025-09-22,23816,6272.530000000001,3.7968730320939077
Mumbai-Pune,Short,2025-09-29,18951,4960.17,3.8206351798426263
Mumbai-Pune,Short,2025-10-06,44675,11333.27,3.941933793159432
Mumbai-Pune,Short,2025-10-13,36894,9544.310000000001,3.865549212043615
Mumbai-Pune,Short,2025-10-20,39114,9550.869999999999,4.095333723524663
Mumbai-Pune,Short,2025-10-27,29049,7131.679999999999,4.073233796244364
Mumbai-Pune,Short,2025-11-03,44487,10593.72,4.1993747238930235
Mumbai-Pune,Short,2025-11-10,41258,10397.6,3.9680310840963298
Mumbai-Pune,Short,2025-11-17,30600,7079.93,4.322076630701151
Mumbai-Pune,Short,2025-11-24,30766,7402.039999999999,4.15642174319512
Mumbai-Pune,Short,2025-12-01,62633,14258.11,4.39279820396953
Mumbai-Pune,Short,2025-12-08,33602,7581.78,4.43194078435407
Mumbai-Pune,Short,2025-12-15,31391,7153.68,4.388091164267901
Mumbai-Pune,Short,2025-12-22,32197,7178.280000000001,4.485336320121254
